TITLE;6 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2;3;4
type;;;;;;;;;RandomNormal;RandomNormal;RandomNormal;RandomNormal
p1;;;;;;;;;0;0;0;0
p2;;;;;;;;;1;1;1;1
distances;(RandomNormal, RandomNormal) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.070355;0.24663;1.9525
D PCA [C] Euclidean(MinimumTimesMedian);0.066382;0.40452;2.2835
D DE (min)[C] Euclidean(MinimumTimesMedian);0.10028;0.5944;5.7709
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.10184;0.59441;5.771
D DE (max)[C] Euclidean(MinimumTimesMedian);0.10287;0.59442;5.7711
D PCA/D plain [C] Euclidean(MinimumTimesMedian);0.94352;1.6402;1.1695
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);1.4475;2.4101;2.9557
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);1.5341;1.4694;2.5273
distances;(RandomNormal, RandomPearson) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.043217;0.22161;1.1169
D PCA [C] Euclidean(MinimumTimesMedian);0.032119;0.43361;2.521
D DE (min)[C] Euclidean(MinimumTimesMedian);0.074703;0.57707;3.5188
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.074712;0.58991;3.5188
D DE (max)[C] Euclidean(MinimumTimesMedian);0.074723;0.5932;3.5189
D PCA/D plain [C] Euclidean(MinimumTimesMedian);0.74321;1.9566;2.2571
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);1.7288;2.662;3.1506
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);2.3261;1.3605;1.3958
distances;(RandomNormal, RandomUniform) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.030781;0.15866;0.49844
D PCA [C] Euclidean(MinimumTimesMedian);0.046904;0.58672;2.0533
D DE (min)[C] Euclidean(MinimumTimesMedian);0.071781;0.66268;3.4819
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.072611;0.67836;3.4846
D DE (max)[C] Euclidean(MinimumTimesMedian);0.072958;0.68266;3.4855
D PCA/D plain [C] Euclidean(MinimumTimesMedian);1.5238;3.6979;4.1195
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);2.3589;4.2755;6.9911
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);1.5481;1.1562;1.6971
distances;(RandomNormal, RandomWeibull) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.056796;0.23281;0.95403
D PCA [C] Euclidean(MinimumTimesMedian);0.050496;0.46037;2.739
D DE (min)[C] Euclidean(MinimumTimesMedian);0.11273;0.60166;4.7046
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.11317;0.60879;4.7081
D DE (max)[C] Euclidean(MinimumTimesMedian);0.11342;0.61317;4.709
