TITLE;2 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2
type;;;;;;;;;RandomNormal;RandomNormal
p1;;;;;;;;;0;0
p2;;;;;;;;;1;1
distances;(RandomNormal, RandomNormal) (many)
distances;(RandomUniform, RandomWeibull) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.0019602;0.020937;0.040244
D PCA [C] Euclidean(MinimumTimesMedian);0.0030096;0.01936;0.088842
D DE (min)[C] Euclidean(MinimumTimesMedian);0.0033958;0.025591;0.094689
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.0033962;0.025591;0.09469
D DE (max)[C] Euclidean(MinimumTimesMedian);0.0033962;0.025591;0.09469
D PCA/D plain [C] Euclidean(MinimumTimesMedian);1.5354;0.9247;2.2076
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);1.7325;1.2223;2.3529
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);1.1284;1.3219;1.0658
distances;(RandomWeibull, RandomWeibull) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.0027699;0.0034409;0.0025921
D PCA [C] Euclidean(MinimumTimesMedian);0.0027956;0.0039865;0.00033326
D DE (min)[C] Euclidean(MinimumTimesMedian);0.0034217;0.0048251;0.0041255
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.0034217;0.0048258;0.004126
D DE (max)[C] Euclidean(MinimumTimesMedian);0.0034217;0.004826;0.0041261
D PCA/D plain [C] Euclidean(MinimumTimesMedian);1.0093;1.1586;0.12857
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);1.2353;1.4025;1.5918
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);1.224;1.2106;12.381
weights;(RandomNormal, RandomNormal)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.50699;0.49301
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.034893;1.0476;0.0329041881790208;0.98792;1.0604;0.46987;0.53013
DE Euclidean(MinimumTimesMedian);0.034898;1.0478;0.0329041881790208;0.98792;1.0606;0.47018;0.52982
DE Euclidean(MinimumTimesMedian);0.034898;1.0478;0.0329041881790208;0.98792;1.0606;0.47018;0.52982
DE Euclidean(MinimumTimesMedian);0.034898;1.0478;0.0329041881790208;0.98792;1.0606;0.47018;0.52982
DE Euclidean(MinimumTimesMedian);0.034898;1.0478;0.0329041881790208;0.98792;1.0606;0.47018;0.52982
weights;(RandomNormal, RandomPearson)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.30149;0.69851
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.017709;1.7035;0.0085691343963924;0.82428;2.0666;0.9499;0.050095
DE Euclidean(MinimumTimesMedian);0.017709;1.7035;0.0085691343963924;0.82428;2.0666;0.9499;0.050095
DE Euclidean(MinimumTimesMedian);0.017709;1.7035;0.0085691343963924;0.82428;2.0666;0.9499;0.050095
DE Euclidean(MinimumTimesMedian);0.017709;1.7035;0.0085691343963924;0.82428;2.0666;0.9499;0.050095
DE Euclidean(MinimumTimesMedian);0.017709;1.7035;0.0085691343963924;0.82428;2.0666;0.9499;0.050095
weights;(RandomNormal, RandomUniform)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.91493;0.085074
