TITLE;15 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2;3;4;5;6;7;8
type;;;;;;;;;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal
p1;;;;;;;;;0;0;0;0;0;0;0;0
p2;;;;;;;;;1;1;1;1;1;1;1;1
distances;(RandomNormal, RandomNormal) (many)
gain;1;3;9;27;81
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);2.0947;3.6428;6.6129
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);1.8031;1.6459;1.5879
distances;(RandomUniform, RandomUniform) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.0048762;0.017683;0.13151
D PCA [C] Euclidean(MinimumTimesMedian);0.0048819;0.046656;0.57518
D DE (min)[C] Euclidean(MinimumTimesMedian);0.010246;0.083136;0.89198
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.010575;0.089003;0.90141
D DE (max)[C] Euclidean(MinimumTimesMedian);0.011011;0.091631;0.9289
D PCA/D plain [C] Euclidean(MinimumTimesMedian);1.0012;2.6385;4.3736
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);2.1687;5.0334;6.8542
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);2.1662;1.9077;1.5672
distances;(RandomUniform, RandomWeibull) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.020882;0.044387;0.16165
D PCA [C] Euclidean(MinimumTimesMedian);0.045076;0.040539;0.44787
D DE (min)[C] Euclidean(MinimumTimesMedian);0.072306;0.10648;0.77957
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.074746;0.11088;0.78419
D DE (max)[C] Euclidean(MinimumTimesMedian);0.078764;0.11381;0.79625
D PCA/D plain [C] Euclidean(MinimumTimesMedian);2.1586;0.91331;2.7706
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);3.5795;2.498;4.8512
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);1.6582;2.7352;1.7509
distances;(RandomWeibull, RandomWeibull) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.045715;0.018816;0.016066
D PCA [C] Euclidean(MinimumTimesMedian);0.06058;0.033503;0.053798
D DE (min)[C] Euclidean(MinimumTimesMedian);0.10928;0.065718;0.083407
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.11068;0.06912;0.086014
D DE (max)[C] Euclidean(MinimumTimesMedian);0.11136;0.072036;0.08694
D PCA/D plain [C] Euclidean(MinimumTimesMedian);1.3252;1.7805;3.3486
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);2.4211;3.6734;5.3539
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);1.827;2.0631;1.5988
weights;(RandomNormal, RandomNormal)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.063726;0.057208;0.079864;0.045092;0.060885;0.075735;0.047609;0.068598;0.080589;0.098844;0.06227;0.091156;0.083199;0.030584;0.05464
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.13068;1.7933;0.0739713136496056;1.0151;1.7666;1.539E-08;0.025619;0.17363;1.8134E-09;0.15341;0.17255;0.05983;0.12227;7.3588E-09;0.18786;3.0317E-09;0.10483;1.7209E-08;9.4909E-09;5.3715E-08
DE Euclidean(MinimumTimesMedian);0.13876;1.9042;0.0739713136496056;1.0151;1.8759;2.1831E-07;1.0713E-07;0.15425;6.529E-08;8.462E-08;0.14831;1.7651E-07;1.0654E-07;0.16499;0.16683;0.13218;0.13492;0.098518;1.3934E-07;1.7347E-07
DE Euclidean(MinimumTimesMedian);0.14426;1.9797;0.0739713136496056;1.0151;1.9502;2.9517E-10;1.1215E-08;0.11881;6.6782E-08;0.029243;3.1868E-08;4.5729E-08;8.6076E-09;0.19886;0.14135;0.10837;0.2013;0.20207;8.7359E-08;1.9307E-07
DE Euclidean(MinimumTimesMedian);0.14484;1.9877;0.0739713136496056;1.0151;1.9581;1.8634E-08;4.2486E-08;0.1741;1.1062E-11;0.11969;3.7824E-08;0.10125;1.264E-06;0.14604;0.17968;3.8884E-08;0.19039;0.088853;1.5887E-07;6.4349E-07
DE Euclidean(MinimumTimesMedian);0.15087;2.0704;0.0739713136496056;1.0151;2.0396;0.11237;8.5406E-10;0.16902;2.8013E-08;1.3444E-12;1.5362E-08;0.10117;2.0278E-09;7.7088E-08;0.10646;4.6952E-09;0.25091;0.26006;1.8228E-08;5.8362E-09
