TITLE;Differential evolution variants;;;;;;;;;
FOCUS ON;;;;;;;;;;
EXPERIMENT TYPE;DEVariants;;;;;;;;;
PARAMETERS;;;;;;;;;;
normalization;Center;;;;;;;;;
pcaRecompositionThreshold;0.95;;;;;;;;;
component;1;2;3;4;5;6;7;8;;
type;RandomNormal;RandomUniform;RandomNormal;RandomNormal;RandomNormal;RandomUniform;RandomWeibull;RandomWeibull;;
p1;0;0;0;0;0;0;0;0;;
p2;15;10;10;10;10;5;0.2;5;;
RESULTS;;;;;;;;;;
COMMON;;;;;;;;;;
distance;;;;;;;;;;
which;A;T;C;;;;;;;
plain;12.339;1.0304;1.6555;;;;;;;
PCA;232.56;0.0088295;6.9217;;;;;;;
PCA;;;;;;;;;;
weights;0.000036201;1.7316E-006;0.000041148;0.000033372;0.000025605;1.9338E-007;0.081678;0.000000006;3.262E-008;
differential evolutions parameters, by distance type;;;;;;;;;;
i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;;
27606;17.293;17.819;3;0.5;0.5;100;125;T;0.0024011;
34413;3.2246;3.3227;6;1;1;30;30;T;0.0024016;
33906;16.712;17.221;6;0.85;0.5;150;125;T;0.0024017;
27941;20.164;20.777;3;0.85;0.25;150;150;T;0.002402;
28278;20.086;20.697;3;1;0.25;75;125;T;0.0024025;
34954;12.438;12.816;6;1.5;0.25;100;100;T;0.0024032;
15900;3.7787;6.2558;3;0.5;0.75;30;100;C;0.0024037;
28856;15.286;15.751;3;1.2;0.75;75;30;T;0.0024043;
23966;17.609;18.145;1;0.85;0.25;75;125;T;0.0024044;
30892;5.6862;5.8592;4;1.2;1;30;75;T;0.0024044;
34063;5.6064;5.777;6;0.85;1;75;150;T;0.0024049;
27858;19.954;20.561;3;0.85;0.25;30;125;T;0.0024053;
27699;12.589;12.972;3;0.5;0.75;100;75;T;0.0024056;
34967;12.11;12.478;6;1.5;0.25;125;100;T;0.0024058;
34717;13.588;14.002;6;1.2;0.75;30;125;T;0.002407;
31847;18.117;18.669;5;0.85;0.25;150;125;T;0.0024074;
31508;14.744;15.192;5;0.5;0.5;75;75;T;0.0024084;
24356;17.354;17.882;1;1;0.25;75;100;T;0.0024086;
30294;14.303;14.739;4;1;0.5;10;150;T;0.0024086;
28486;10.889;11.22;3;1;0.75;100;100;T;0.0024089;
28753;19.998;20.606;3;1.2;0.5;50;125;T;0.0024099;
27587;17.84;18.383;3;0.5;0.5;75;75;T;0.0024105;
27461;15.213;15.676;3;0.5;0.25;30;75;T;0.0024111;
29128;17.078;17.598;3;1.5;0.5;30;75;T;0.0024112;
30826;17.721;18.26;4;1.2;0.75;75;125;T;0.0024112;
28372;19.254;19.84;3;1;0.5;75;75;T;0.0024119;
28337;20.138;20.751;3;1;0.25;150;150;T;0.0024129;
34781;7.674;7.9075;6;1.2;0.75;150;50;T;0.0024131;
28691;18.088;18.639;3;1.2;0.25;125;50;T;0.0024132;
32801;5.365;5.5282;5;1.2;0.75;125;10;T;0.0024147;
26131;14.646;15.092;2;0.85;0.75;100;75;T;0.002415;
24936;18.431;18.991;1;1.2;0.75;50;150;T;0.0024161;
25365;14.371;14.808;1;1.5;0.75;125;125;T;0.0024162;
29194;19.253;19.839;3;1.5;0.5;125;150;T;0.0024165;
32975;10.426;10.743;5;1.5;0.25;75;50;T;0.0024168;
29297;18.459;19.021;3;1.5;0.75;150;100;T;0.0024176;
33870;17.81;18.352;6;0.85;0.5;75;150;T;0.0024178;
33162;14.977;15.433;5;1.5;0.75;50;100;T;0.0024188;
29982;15.563;16.037;4;0.85;0.5;150;75;T;0.002419;
33188;12.763;13.152;5;1.5;0.75;100;75;T;0.0024203;
30053;16.801;17.312;4;0.85;0.75;100;100;T;0.0024231;
32785;18.601;19.167;5;1.2;0.75;75;125;T;0.0024231;
29564;17.186;17.709;4;0.5;0.5;100;100;T;0.0024252;
34785;13.575;13.988;6;1.2;0.75;150;100;T;0.0024256;
27322;17.034;17.552;2;1.5;0.75;125;75;T;0.002429;
23876;3.4032;3.5067;1;0.5;1;100;50;T;0.00243;
29984;17.575;18.11;4;0.85;0.5;150;100;T;0.002431;
32224;17.39;17.919;5;1;0.25;125;100;T;0.0024313;
27904;12.334;12.709;3;0.85;0.25;125;30;T;0.0024331;
26132;17.445;17.976;2;0.85;0.75;100;75;T;0.0024337;
29981;15.895;16.379;4;0.85;0.5;150;75;T;0.0024365;
28080;17.257;17.782;3;0.85;0.75;75;100;T;0.0024377;
27702;9.7855;10.083;3;0.5;0.75;100;100;T;0.002438;
24120;12.002;12.367;1;0.85;0.75;10;150;T;0.0024411;
28568;3.3443;3.446;3;1;1;75;75;T;0.0024445;
26593;2.8677;2.9549;2;1;1;50;75;T;0.0024446;
34528;15.695;16.172;6;1.2;0.25;30;150;T;0.0024451;
33833;14.299;14.734;6;0.85;0.5;30;100;T;0.0024462;
30849;14.118;14.548;4;1.2;0.75;125;75;T;0.0024479;
31956;11.059;11.395;5;0.85;0.75;10;100;T;0.0024493;
31623;18.008;18.556;5;0.5;0.75;100;125;T;0.0024495;
28022;20.128;20.74;3;0.85;0.5;150;75;T;0.0024499;
32034;18.891;19.466;5;0.85;0.75;125;150;T;0.0024513;
32420;18.049;18.598;5;1;0.75;125;100;T;0.002452;
27427;18.59;19.156;2;1.5;1;125;150;T;0.0024523;
31627;18.998;19.576;5;0.5;0.75;100;150;T;0.0024523;
32210;17.714;18.253;5;1;0.25;100;100;T;0.0024528;
32292;16.736;17.245;5;1;0.5;75;75;T;0.002453;
29566;18.72;19.289;4;0.5;0.5;100;125;T;0.0024541;
28291;20.131;20.744;3;1;0.25;100;125;T;0.002456;
29201;20.164;20.777;3;1.5;0.5;150;125;T;0.0024569;
34256;17.459;17.99;6;1;0.5;75;125;T;0.0024576;
34910;10.29;10.603;6;1.5;0.25;30;75;T;0.0024589;
27511;20.178;20.792;3;0.5;0.25;100;150;T;0.002459;
27109;9.8677;10.168;2;1.5;0.25;100;50;T;0.0024597;
30443;17.061;17.58;4;1;0.75;100;75;T;0.0024608;
24789;15.439;15.909;1;1.2;0.25;150;100;T;0.0024609;
23733;19.084;19.664;1;0.5;0.5;150;150;T;0.0024625;
29423;15.015;15.472;4;0.5;0.25;30;100;T;0.0024647;
29377;7.1106;7.327;3;1.5;1;125;50;T;0.0024659;
34212;14.319;14.754;6;1;0.5;10;125;T;0.002466;
29494;16.732;17.241;4;0.5;0.25;150;100;T;0.0024684;
31487;18.865;19.439;5;0.5;0.5;30;150;T;0.0024688;
26419;19.646;20.244;2;1;0.5;75;150;T;0.0024696;
24930;15.493;15.965;1;1.2;0.75;50;100;T;0.0024711;
27173;4.023;4.1454;2;1.5;0.5;50;10;T;0.0024715;
24846;15.784;16.264;1;1.2;0.5;75;100;T;0.0024732;
26402;19.264;19.85;2;1;0.5;50;125;T;0.0024748;
30193;13.34;13.746;4;1;0.25;10;125;T;0.0024753;
25495;9.0728;9.3489;1;1.5;1;150;150;T;0.0024754;
28501;20.368;20.988;3;1;0.75;125;125;T;0.0024759;
30837;17.135;17.657;4;1.2;0.75;100;100;T;0.0024761;
28621;15.468;15.938;3;1.2;0.25;10;75;T;0.0024762;
30626;13.539;13.951;4;1.2;0.25;75;75;T;0.0024763;
24329;18.419;18.98;1;1;0.25;30;125;T;0.0024767;
31871;14.271;14.705;5;0.85;0.5;30;75;T;0.0024768;
23734;19.065;19.645;1;0.5;0.5;150;150;T;0.0024777;
27195;13.879;14.302;2;1.5;0.5;75;75;T;0.0024794;
32689;3.3981;3.5015;5;1.2;0.5;100;10;T;0.0024797;
23662;18.028;18.576;1;0.5;0.5;50;150;T;0.0024821;
28762;18.761;19.332;3;1.2;0.5;75;50;T;0.0024824;
28757;18.732;19.302;3;1.2;0.5;50;150;T;0.0024825;
32230;7.4193;7.645;5;1;0.25;150;30;T;0.0024832;
30189;11.766;12.124;4;1;0.25;10;75;T;0.0024836;
33038;14.555;14.997;5;1.5;0.5;10;150;T;0.0024845;
29634;16.993;17.51;4;0.5;0.75;50;100;T;0.0024858;
31539;18.644;19.211;5;0.5;0.5;125;125;T;0.0024859;
23686;17.775;18.316;1;0.5;0.5;100;125;T;0.0024863;
27071;12.837;13.227;2;1.5;0.25;30;100;T;0.0024869;
26444;19.258;19.844;2;1;0.5;125;125;T;0.0024876;
29592;17.468;17.999;4;0.5;0.5;150;100;T;0.0024889;
28234;13.71;14.127;3;1;0.25;10;125;T;0.0024905;
34294;12.434;12.812;6;1;0.5;150;75;T;0.0024918;
28774;18.403;18.963;3;1.2;0.5;75;150;T;0.002492;
26162;19.739;20.34;2;0.85;0.75;150;100;T;0.0024951;
33219;17.82;18.362;5;1.5;0.75;150;125;T;0.0024964;
29358;4.3694;4.5023;3;1.5;1;100;10;T;0.0024972;
30373;15.436;15.906;4;1;0.5;150;75;T;0.0024983;
32711;15.383;15.851;5;1.2;0.5;125;75;T;0.0024986;
32543;13.842;14.263;5;1.2;0.25;10;100;T;0.0024987;
24090;17.405;17.935;1;0.85;0.5;125;100;T;0.002499;
26896;10.906;11.238;2;1.2;0.75;75;30;T;0.0024991;
24117;11.66;12.015;1;0.85;0.75;10;125;T;0.0024994;
28764;19.136;19.718;3;1.2;0.5;75;75;T;0.0024994;
27532;19.152;19.735;3;0.5;0.25;150;75;T;0.0025001;
33604;17.667;18.204;6;0.5;0.75;125;150;T;0.002501;
29059;19.166;19.749;3;1.5;0.25;75;100;T;0.0025011;
24144;14.224;14.657;1;0.85;0.75;50;75;T;0.002502;
30701;3.3579;3.46;4;1.2;0.5;50;10;T;0.002502;
27082;7.4685;7.6958;2;1.5;0.25;50;50;T;0.002503;
27111;11.844;12.205;2;1.5;0.25;100;75;T;0.0025041;
26854;6.2436;6.4336;2;1.2;0.75;10;30;T;0.0025061;
29843;15.953;16.438;4;0.85;0.25;75;100;T;0.0025062;
28106;19.898;20.503;3;0.85;0.75;125;75;T;0.0025096;
33830;17.558;18.092;6;0.85;0.25;150;150;T;0.0025113;
34290;18.794;19.365;6;1;0.5;125;150;T;0.0025121;
34695;4.8821;5.0306;6;1.2;0.75;10;50;T;0.0025146;
26934;20.386;21.007;2;1.2;0.75;125;125;T;0.0025149;
31390;18.339;18.897;5;0.5;0.25;30;150;T;0.0025164;
24949;18.313;18.87;1;1.2;0.75;75;150;T;0.0025168;
33054;3.3387;3.4403;5;1.5;0.5;50;10;T;0.0025178;
29101;20.175;20.789;3;1.5;0.25;150;100;T;0.0025179;
31277;18.875;19.449;4;1.5;0.75;150;150;T;0.00252;
28768;20.243;20.859;3;1.2;0.5;75;125;T;0.0025218;
29466;15.587;16.061;4;0.5;0.25;100;100;T;0.002522;
27223;16.391;16.889;2;1.5;0.5;125;75;T;0.0025224;
25537;11.12;11.458;2;0.5;0.25;75;150;T;0.0025228;
35066;11.939;12.302;6;1.5;0.5;125;100;T;0.0025228;
26459;3.7;3.8126;2;1;0.75;10;10;T;0.0025229;
27952;17.412;17.942;3;0.85;0.5;30;75;T;0.0025234;
33847;13.572;13.985;6;0.85;0.5;50;100;T;0.0025243;
28354;14.842;15.294;3;1;0.5;50;30;T;0.0025251;
28382;15.782;16.262;3;1;0.5;100;30;T;0.0025253;
23675;19.084;19.665;1;0.5;0.5;75;150;T;0.0025256;
24492;13.719;14.136;1;1;0.5;150;50;T;0.002526;
24196;18.79;19.362;1;0.85;0.75;125;150;T;0.0025273;
23685;18.521;19.085;1;0.5;0.5;100;125;T;0.0025274;
26539;15.394;15.862;2;1;0.75;125;100;T;0.0025295;
34416;18.652;19.22;6;1;0.75;150;150;T;0.0025297;
30537;3.0598;3.1529;4;1;1;100;30;T;0.0025301;
23768;13.604;14.018;1;0.5;0.75;75;100;T;0.0025306;
29803;15.204;15.667;4;0.85;0.25;10;150;T;0.0025326;
28928;18.093;18.643;3;1.2;0.75;150;150;T;0.0025336;
23700;18.645;19.212;1;0.5;0.5;125;125;T;0.0025347;
26000;19.803;20.405;2;0.85;0.5;30;150;T;0.0025348;
32709;11.078;11.415;5;1.2;0.5;125;50;T;0.0025392;
24152;18.806;19.379;1;0.85;0.75;50;150;T;0.0025398;
29315;4.3261;4.4577;3;1.5;1;30;10;T;0.0025399;
24929;15.302;15.768;1;1.2;0.75;50;100;T;0.0025403;
34231;18.641;19.208;6;1;0.5;30;150;T;0.0025455;
32350;12.852;13.243;5;1;0.75;10;125;T;0.0025469;
23559;15.838;16.32;1;0.5;0.25;50;125;T;0.0025476;
28566;6.9429;7.1541;3;1;1;75;50;T;0.0025478;
24480;17.2;17.723;1;1;0.5;125;75;T;0.0025479;
25501;7.8774;8.1171;2;0.5;0.25;30;75;T;0.0025484;
26580;2.927;3.016;2;1;1;30;75;T;0.0025489;
28112;7.2908;7.5126;3;0.85;0.75;150;10;T;0.0025496;
28432;19.899;20.504;3;1;0.5;150;150;T;0.002552;
26710;18.385;18.945;2;1.2;0.25;75;125;T;0.0025536;
30333;18.518;19.082;4;1;0.5;75;100;T;0.0025537;
32578;3.8424;3.9593;5;1.2;0.25;75;10;T;0.0025551;
33875;15.071;15.529;6;0.85;0.5;100;100;T;0.0025588;
26901;18.424;18.985;2;1.2;0.75;75;75;T;0.0025592;
32561;16.834;17.347;5;1.2;0.25;30;125;T;0.0025598;
24463;12.404;12.781;1;1;0.5;100;50;T;0.0025604;
26449;20.302;20.92;2;1;0.5;125;150;T;0.0025605;
29773;5.1509;5.3077;4;0.5;1;125;100;T;0.0025609;
29254;12.787;13.176;3;1.5;0.75;75;75;T;0.0025631;
24168;18.764;19.335;1;0.85;0.75;75;150;T;0.0025633;
31943;17.887;18.431;5;0.85;0.5;150;100;T;0.0025634;
31022;17.59;18.125;4;1.5;0.25;75;125;T;0.0025635;
33384;10.302;10.616;6;0.5;0.25;100;75;T;0.0025644;
24525;18.832;19.405;1;1;0.75;30;125;T;0.0025653;
29440;18.223;18.778;4;0.5;0.25;50;125;T;0.0025655;
34351;16.45;16.951;6;1;0.75;75;100;T;0.0025657;
29710;18.916;19.491;4;0.5;0.75;150;150;T;0.002569;
25793;2.5628;2.6408;2;0.5;1;30;50;T;0.0025702;
26129;14.369;14.806;2;0.85;0.75;100;50;T;0.0025704;
25964;16.7;17.208;2;0.85;0.25;150;75;T;0.0025743;
30060;18.974;19.551;4;0.85;0.75;100;150;T;0.0025747;
26922;5.7756;5.9513;2;1.2;0.75;125;10;T;0.0025774;
23600;15.384;15.852;1;0.5;0.25;125;100;T;0.002578;
32789;18.539;19.103;5;1.2;0.75;75;150;T;0.0025789;
23774;6.9828;7.1952;1;0.5;0.75;100;30;T;0.0025796;
28833;14.676;15.123;3;1.2;0.75;30;75;T;0.0025797;
35174;6.3112;6.5032;6;1.5;0.75;150;50;T;0.0025806;
26169;3.8084;3.9243;2;0.85;1;10;50;T;0.0025816;
34189;18.206;18.76;6;1;0.25;125;150;T;0.002582;
24695;2.7437;2.8271;1;1.2;0.25;10;10;T;0.0025829;
25095;11.961;12.325;1;1.5;0.25;10;100;T;0.0025855;
24983;11.089;11.427;1;1.2;0.75;150;75;T;0.0025889;
27937;13.866;14.288;3;0.85;0.5;10;100;T;0.0025942;
25379;15.982;16.468;1;1.5;0.75;150;125;T;0.0025947;
32182;17.806;18.348;5;1;0.25;50;100;T;0.0025952;
26146;19.075;19.656;2;0.85;0.75;125;75;T;0.0025955;
15199;4.4043;7.2915;2;1.2;1;10;125;C;0.0025957;
23671;18.827;19.399;1;0.5;0.5;75;125;T;0.0025976;
33862;14.91;15.364;6;0.85;0.5;75;100;T;0.0025986;
33390;2.7232;2.806;6;0.5;0.25;125;10;T;0.0026003;
32826;17.837;18.379;5;1.2;0.75;150;100;T;0.0026007;
23698;16.838;17.35;1;0.5;0.5;125;100;T;0.002601;
31717;4.0819;4.2061;5;0.5;1;100;75;T;0.0026036;
32556;7.8292;8.0675;5;1.2;0.25;30;50;T;0.0026041;
29690;17.238;17.763;4;0.5;0.75;150;100;T;0.0026051;
31101;14.855;15.307;4;1.5;0.5;50;75;T;0.0026052;
32162;7.7888;8.0258;5;0.85;1;150;150;T;0.002606;
29251;17.374;17.902;3;1.5;0.75;75;50;T;0.0026109;
30027;18.084;18.634;4;0.85;0.75;50;125;T;0.0026122;
31532;6.4616;6.6582;5;0.5;0.5;125;30;T;0.0026127;
29240;15.171;15.633;3;1.5;0.75;50;75;T;0.0026149;
34972;2.7894;2.8743;6;1.5;0.25;150;10;T;0.0026163;
31358;11.263;11.605;4;1.5;1;150;125;T;0.0026191;
14814;2.8219;4.6717;2;1;1;30;30;C;0.0026197;
30623;8.3611;8.6155;4;1.2;0.25;75;50;T;0.0026198;
30186;4.8481;4.9956;4;1;0.25;10;30;T;0.002622;
30445;17.837;18.38;4;1;0.75;100;100;T;0.0026222;
26235;3.5828;3.6918;2;0.85;1;125;10;T;0.0026241;
33345;15.586;16.06;6;0.5;0.25;30;125;T;0.0026241;
30318;16.265;16.76;4;1;0.5;50;75;T;0.0026252;
31902;17.545;18.079;5;0.85;0.5;75;100;T;0.0026265;
34638;17.532;18.066;6;1.2;0.5;50;150;T;0.0026279;
23546;16.744;17.253;1;0.5;0.25;30;125;T;0.002628;
28508;19.682;20.28;3;1;0.75;125;150;T;0.0026283;
30168;6.7893;6.9959;4;0.85;1;125;125;T;0.0026284;
34064;8.8228;9.0912;6;0.85;1;75;150;T;0.0026291;
24159;16.449;16.949;1;0.85;0.75;75;100;T;0.0026312;
30829;18.761;19.332;4;1.2;0.75;75;150;T;0.0026315;
24113;8.735;9.0007;1;0.85;0.75;10;75;T;0.0026316;
32506;4.6301;4.771;5;1;1;100;125;T;0.0026318;
26752;18.564;19.129;2;1.2;0.25;150;125;T;0.0026324;
25316;5.3453;5.5079;1;1.5;0.75;50;30;T;0.0026342;
26397;17.312;17.838;2;1;0.5;50;75;T;0.0026342;
31841;10.653;10.978;5;0.85;0.25;150;50;T;0.0026344;
34042;4.4138;4.5481;6;0.85;1;50;75;T;0.0026347;
29956;17.841;18.384;4;0.85;0.5;100;100;T;0.0026353;
26332;19.864;20.469;2;1;0.25;100;125;T;0.0026358;
25194;13.19;13.591;1;1.5;0.5;10;100;T;0.0026359;
29289;17.247;17.771;3;1.5;0.75;150;30;T;0.0026362;
27577;15.639;16.115;3;0.5;0.5;50;125;T;0.0026386;
24434;8.7688;9.0356;1;1;0.5;50;30;T;0.0026399;
29547;14.706;15.154;4;0.5;0.5;75;75;T;0.0026401;
27381;15.655;16.131;2;1.5;1;50;125;T;0.0026481;
24966;18.504;19.067;1;1.2;0.75;100;150;T;0.0026505;
23563;18.5;19.063;1;0.5;0.25;50;150;T;0.0026525;
17062;5.0587;8.3749;3;1.2;0.75;10;125;C;0.0026528;
30361;18.401;18.96;4;1;0.5;125;100;T;0.0026538;
30654;13.11;13.509;4;1.2;0.25;125;75;T;0.0026544;
32207;14.814;15.264;5;1;0.25;100;75;T;0.0026545;
27895;18.786;19.358;3;0.85;0.25;100;75;T;0.0026546;
34779;15.219;15.682;6;1.2;0.75;125;150;T;0.0026546;
31116;13.259;13.662;4;1.5;0.5;75;75;T;0.0026558;
23038;3.1399;5.1982;6;1.2;1;10;100;C;0.0026558;
28478;16.38;16.878;3;1;0.75;100;30;T;0.0026581;
31516;19.087;19.668;5;0.5;0.5;75;150;T;0.0026626;
34265;14.784;15.233;6;1;0.5;100;75;T;0.0026627;
26513;16.121;16.612;2;1;0.75;75;125;T;0.0026638;
30081;17.554;18.088;4;0.85;0.75;150;100;T;0.002667;
24493;17.81;18.352;1;1;0.5;150;75;T;0.0026672;
34996;13.826;14.247;6;1.5;0.5;10;125;T;0.0026673;
25085;9.2994;9.5824;1;1.2;1;150;125;T;0.0026676;
27150;7.2424;7.4628;2;1.5;0.5;10;50;T;0.0026682;
31257;15.371;15.839;4;1.5;0.75;150;100;T;0.0026682;
33267;4.978;5.1294;5;1.5;1;75;30;T;0.002669;
30158;6.9635;7.1754;4;0.85;1;100;150;T;0.00267;
27538;3.15;3.2458;3;0.5;0.5;10;10;T;0.0026733;
28626;17.785;18.326;3;1.2;0.25;10;125;T;0.0026737;
20718;3.572;5.9136;5;1;1;50;125;C;0.0026738;
30436;4.1628;4.2894;4;1;0.75;100;10;T;0.0026775;
33374;14.968;15.424;6;0.5;0.25;75;125;T;0.0026779;
26916;18.785;19.356;2;1.2;0.75;100;75;T;0.0026781;
26147;18.769;19.34;2;0.85;0.75;125;100;T;0.0026804;
24787;13.866;14.288;1;1.2;0.25;150;75;T;0.0026807;
28120;18.378;18.938;3;0.85;0.75;150;75;T;0.0026817;
26897;20.599;21.225;2;1.2;0.75;50;150;T;0.0026824;
27333;14.049;14.476;2;1.5;0.75;150;50;T;0.0026826;
34591;15.367;15.834;6;1.2;0.25;150;125;T;0.0026835;
28770;5.573;5.7426;3;1.2;0.5;100;10;T;0.0026868;
31246;16.72;17.228;4;1.5;0.75;125;125;T;0.0026868;
35093;11.812;12.171;6;1.5;0.75;10;125;T;0.0026878;
23909;4.2717;4.4017;1;0.5;1;150;125;T;0.0026894;
31145;16.856;17.369;4;1.5;0.5;125;100;T;0.0026908;
29894;7.7888;8.0258;4;0.85;0.5;10;50;T;0.0026916;
29225;12.314;12.689;3;1.5;0.75;30;75;T;0.0026917;
33256;5.2002;5.3584;5;1.5;1;50;50;T;0.0026931;
30900;3.7834;3.8985;4;1.2;1;50;30;T;0.0027027;
32101;2.8535;2.9403;5;0.85;1;100;10;T;0.0027031;
26917;19.127;19.709;2;1.2;0.75;100;100;T;0.002708;
34853;5.1854;5.3432;6;1.2;1;100;75;T;0.0027086;
29247;17.324;17.851;3;1.5;0.75;50;150;T;0.0027088;
33118;14.197;14.629;5;1.5;0.5;150;75;T;0.0027094;
24652;6.9182;7.1287;1;1;1;75;125;T;0.0027107;
34729;12.783;13.172;6;1.2;0.75;50;100;T;0.0027121;
25061;4.865;5.013;1;1.2;1;125;30;T;0.0027126;
28744;19.452;20.044;3;1.2;0.5;30;150;T;0.0027134;
23992;16.964;17.48;1;0.85;0.25;125;100;T;0.0027139;
23713;18.551;19.115;1;0.5;0.5;150;125;T;0.0027152;
24720;15.566;16.04;1;1.2;0.25;30;100;T;0.0027169;
25283;2.929;3.0181;1;1.5;0.75;10;10;T;0.0027173;
30614;16.325;16.822;4;1.2;0.25;50;100;T;0.0027173;
24744;9.3425;9.6267;1;1.2;0.25;75;50;T;0.0027177;
26769;8.5308;8.7904;2;1.2;0.5;30;30;T;0.0027183;
31981;9.8302;10.129;5;0.85;0.75;50;50;T;0.002719;
33976;17.212;17.736;6;0.85;0.75;100;125;T;0.0027208;
31086;9.8655;10.166;4;1.5;0.5;30;50;T;0.0027213;
24464;12.289;12.663;1;1;0.5;100;50;T;0.0027215;
31609;18.332;18.89;5;0.5;0.75;75;125;T;0.0027218;
27949;17.595;18.131;3;0.85;0.5;30;50;T;0.0027222;
25174;18.324;18.881;1;1.5;0.25;125;150;T;0.0027224;
30384;6.1021;6.2877;4;1;0.75;10;50;T;0.0027237;
34618;12.093;12.461;6;1.2;0.5;30;100;T;0.0027242;
29766;3.5948;3.7042;4;0.5;1;125;30;T;0.0027261;
29654;18.919;19.495;4;0.5;0.75;75;150;T;0.0027277;
29219;19.309;19.896;3;1.5;0.5;150;150;T;0.0027285;
30042;18.436;18.997;4;0.85;0.75;75;125;T;0.0027302;
31087;14.21;14.642;4;1.5;0.5;30;75;T;0.0027304;
30725;17.109;17.629;4;1.2;0.5;75;100;T;0.0027308;
28058;12.752;13.14;3;0.85;0.75;50;30;T;0.002733;
25444;4.9929;5.1448;1;1.5;1;100;50;T;0.0027336;
26684;3.7151;3.8281;2;1.2;0.25;50;10;T;0.0027347;
30830;18.706;19.275;4;1.2;0.75;75;150;T;0.0027362;
30984;7.0912;7.3069;4;1.5;0.25;30;30;T;0.0027373;
26355;17.823;18.365;2;1;0.25;150;75;T;0.0027381;
30202;11.27;11.613;4;0.85;1;150;150;T;0.0027381;
34157;17.287;17.813;6;1;0.25;75;125;T;0.0027386;
34158;17.111;17.631;6;1;0.25;75;125;T;0.0027407;
29997;13.605;14.019;4;0.85;0.75;10;125;T;0.0027451;
28732;16.674;17.181;3;1.2;0.5;30;50;T;0.0027475;
35016;5.5407;5.7093;6;1.5;0.5;50;30;T;0.0027483;
23941;18.061;18.61;1;0.85;0.25;30;150;T;0.0027492;
25094;11.873;12.235;1;1.5;0.25;10;75;T;0.0027502;
34222;18.042;18.591;6;1;0.25;150;150;T;0.0027503;
32640;10.596;10.918;5;1.2;0.5;10;75;T;0.0027504;
35266;2.9823;3.0731;6;1.5;1;150;10;T;0.0027508;
26423;17.535;18.069;2;1;0.5;100;50;T;0.0027512;
35077;10.857;11.188;6;1.5;0.5;150;75;T;0.0027527;
24032;12.805;13.195;1;0.85;0.5;30;75;T;0.0027542;
34920;16.2;16.693;6;1.5;0.25;30;150;T;0.0027544;
32726;15.065;15.524;5;1.2;0.5;150;75;T;0.0027546;
34622;3.085;3.1788;6;1.2;0.5;50;10;T;0.0027553;
28693;18.658;19.226;3;1.2;0.25;125;75;T;0.0027573;
34100;7.0817;7.2972;6;0.85;1;150;100;T;0.0027587;
27926;20.182;20.796;3;0.85;0.25;150;100;T;0.0027617;
27917;12.44;12.818;3;0.85;0.25;150;30;T;0.0027622;
34129;15.686;16.163;6;1;0.25;30;125;T;0.0027624;
29678;17.955;18.502;4;0.5;0.75;125;125;T;0.0027639;
26041;11.614;11.968;2;0.85;0.5;125;30;T;0.002764;
32378;17.775;18.316;5;1;0.75;50;100;T;0.0027643;
23571;15.701;16.179;1;0.5;0.25;75;100;T;0.0027647;
23801;16.803;17.314;1;0.5;0.75;125;150;T;0.0027661;
27776;3.3634;3.4657;3;0.5;1;75;10;T;0.0027679;
23550;16.819;17.33;1;0.5;0.25;30;150;T;0.0027709;
23781;15.636;16.111;1;0.5;0.75;100;100;T;0.002773;
24064;18.647;19.214;1;0.85;0.5;75;125;T;0.0027731;
28397;19.386;19.975;3;1;0.5;125;50;T;0.0027739;
33548;15.92;16.404;6;0.5;0.75;30;150;T;0.0027744;
34947;5.2643;5.4244;6;1.5;0.25;100;30;T;0.0027759;
29191;16.439;16.939;3;1.5;0.5;150;30;T;0.0027785;
33090;13.415;13.824;5;1.5;0.5;100;75;T;0.0027792;
28243;14.146;14.576;3;1;0.25;30;50;T;0.0027793;
28178;7.0519;7.2665;3;0.85;1;75;100;T;0.0027796;
30277;17.53;18.063;4;1;0.25;150;100;T;0.0027799;
28706;17.632;18.168;3;1.2;0.25;150;50;T;0.0027809;
25266;14.859;15.311;1;1.5;0.5;125;100;T;0.0027818;
25350;14.051;14.479;1;1.5;0.75;100;100;T;0.0027824;
29761;4.1354;4.2613;4;0.5;1;100;125;T;0.002783;
33274;7.44;7.6664;5;1.5;1;75;100;T;0.0027844;
34339;17.17;17.693;6;1;0.75;50;125;T;0.0027849;
24091;18.62;19.187;1;0.85;0.5;125;125;T;0.0027851;
24875;18.258;18.814;1;1.2;0.5;125;125;T;0.0027859;
28893;16.867;17.38;3;1.2;0.75;125;125;T;0.0027861;
32386;7.8371;8.0755;5;1;0.75;75;30;T;0.0027879;
24072;11.378;11.724;1;0.85;0.5;100;50;T;0.0027893;
24406;9.4066;9.6928;1;1;0.5;10;50;T;0.0027909;
32959;5.5318;5.7001;5;1.5;0.25;50;30;T;0.0027913;
23629;18.29;18.846;1;0.5;0.25;150;150;T;0.0027926;
29503;9.4067;9.6929;4;0.5;0.5;10;75;T;0.0027938;
28464;13.779;14.199;3;1;0.75;50;150;T;0.0027953;
25463;7.0547;7.2693;1;1.5;1;125;125;T;0.0027958;
23692;18.985;19.563;1;0.5;0.5;100;150;T;0.0027965;
30209;18.347;18.905;4;1;0.25;30;125;T;0.0027971;
26285;17.99;18.537;2;1;0.25;30;75;T;0.0027972;
