TITLE;Differential evolution variants;;;;;;;;;
FOCUS ON;;;;;;;;;;
EXPERIMENT TYPE;DEVariants;;;;;;;;;
PARAMETERS;;;;;;;;;;
normalization;Center;;;;;;;;;
pcaRecompositionThreshold;0.95;;;;;;;;;
component;1;2;3;4;5;6;7;8;;
type;RandomNormal;RandomUniform;RandomNormal;RandomNormal;RandomNormal;RandomUniform;RandomWeibull;RandomWeibull;;
p1;0;0;0;0;0;0;0;0;;
p2;15;10;10;10;10;5;0.2;5;;
RESULTS;;;;;;;;;;
COMMON;;;;;;;;;;
distance;;;;;;;;;;
which;A;T;C;;;;;;;
plain;12.339;1.0304;1.6555;;;;;;;
PCA;232.56;0.0088295;6.9217;;;;;;;
PCA;;;;;;;;;;
weights;0.000036201;1.7316E-006;0.000041148;0.000033372;0.000025605;1.9338E-007;0.081678;0.000000006;3.262E-008;
differential evolutions parameters, by distance type;;;;;;;;;;
i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;;
29905;3.091;3.1851;4;0.85;0.5;30;10;T;0.00079472;
25250;12.453;12.832;1;1.5;0.5;100;75;T;0.00080231;
29747;4.1085;4.2335;4;0.5;1;75;125;T;0.00080242;
25784;2.2347;2.3027;2;0.5;1;10;125;T;0.00080729;
25786;2.7046;2.7869;2;0.5;1;10;150;T;0.00080947;
27836;9.9388;10.241;3;0.85;0.25;10;50;T;0.00081163;
28556;3.663;3.7744;3;1;1;50;100;T;0.00081213;
33234;2.9072;2.9956;5;1.5;1;10;150;T;0.00081398;
30449;3.9063;4.0252;4;1;0.75;125;10;T;0.00081452;
30094;2.0638;2.1266;4;0.85;1;10;100;T;0.0008312;
31533;11.298;11.642;5;0.5;0.5;125;50;T;0.00083782;
30508;5.7159;5.8898;4;1;1;30;150;T;0.00084111;
34020;2.6228;2.7026;6;0.85;1;30;10;T;0.00084397;
30945;3.8138;3.9298;4;1.2;1;125;50;T;0.00085075;
32497;3.635;3.7456;5;1;1;100;30;T;0.00085965;
25415;3.6225;3.7327;1;1.5;1;50;50;T;0.00086312;
29711;2.7865;2.8713;4;0.5;1;30;30;T;0.00087385;
27930;3.637;3.7476;3;0.85;0.5;10;10;T;0.00087496;
30119;4.4432;4.5784;4;0.85;1;50;50;T;0.00087645;
30105;2.9562;3.0462;4;0.85;1;30;50;T;0.00087663;
30272;7.0574;7.2721;4;1;0.25;150;30;T;0.00088061;
34007;2.687;2.7688;6;0.85;1;10;30;T;0.0009014;
32736;6.3709;6.5647;5;1.2;0.75;10;50;T;0.00090312;
27740;2.3838;2.4563;3;0.5;1;10;75;T;0.00090379;
30092;1.9666;2.0265;4;0.85;1;10;75;T;0.00090382;
27641;4.1649;4.2916;3;0.5;0.75;10;75;T;0.00090582;
29768;4.1887;4.3162;4;0.5;1;100;150;T;0.00090693;
25955;3.6787;3.7906;2;0.85;0.25;150;10;T;0.00090838;
33855;4.5293;4.6671;6;0.85;0.5;75;30;T;0.00091006;
