i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;weights ->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);8.7984E-013;1.6815E-013;7.3748E-014;1.1258E-013;6.3429E-013;7.9011E-014;1;6.3527E-013;2.6554E-013;1.5005E-012;6.3978E-014;1.5118E-013;1.0933E-014;5.8222E-013;4.6552E-013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);1.5448E-013;5.4067E-016;1.4176E-013;1.318E-013;3.4614E-014;3.3051E-013;1;5.6909E-013;9.7524E-014;4.9521E-014;1.8295E-015;5.1651E-013;5.1995E-014;1.1154E-013;1.9631E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);2.1917E-013;7.2141E-013;8.118E-014;1.9884E-012;3.0875E-014;1.5549E-015;1;6.9119E-013;3.3112E-015;4.284E-013;4.1538E-012;2.697E-013;2.485E-013;5.5253E-014;3.2473E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);4.7526E-013;9.7891E-014;1.0975E-012;6.5507E-014;1.8917E-013;3.6922E-013;1;4.9889E-013;1.3687E-013;1.7677E-013;3.4299E-013;4.829E-013;1.102E-013;5.848E-013;6.6701E-013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);2.634E-014;3.967E-014;8.117E-014;3.003E-014;3.1774E-015;2.3619E-015;1;1.2423E-014;1.7286E-014;5.0289E-013;6.0994E-013;1.3585E-013;3.4904E-013;6.4789E-014;2.3926E-015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);6.9674E-014;4.7326E-014;2.0224E-014;1.2856E-014;1.1187E-014;6.7768E-014;1;1.921E-014;2.5672E-014;1.997E-014;9.2493E-014;2.8566E-013;1.6291E-013;3.4257E-015;5.3814E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);6.9244E-016;4.7187E-014;4.1154E-013;1.9056E-014;8.4921E-015;6.1857E-013;1;3.3779E-014;2.7253E-014;4.4679E-013;1.059E-013;2.4174E-012;9.5145E-014;1.9196E-013;2.6489E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);2.3278E-014;1.6593E-012;1.4849E-014;9.0421E-013;5.4399E-014;1.5308E-013;1;2.1077E-013;6.751E-014;4.1333E-015;8.5992E-014;1.1543E-013;4.5045E-013;1.6183E-014;1.0077E-013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);4.2411E-014;1.5024E-013;1.4224E-013;3.8247E-016;3.4019E-015;4.6051E-014;1;4.9071E-014;2.9254E-013;4.1062E-013;1.3278E-013;4.8838E-013;3.3212E-014;1.7721E-014;1.6697E-013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);1.6789E-012;1.7022E-012;7.0437E-013;2.9309E-015;2.9485E-012;3.3021E-015;1;1.202E-014;1.9431E-013;2.0176E-015;2.4656E-014;4.8991E-013;1.4561E-013;1.2705E-014;3.8516E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
